"","Year","Council","serv5g","Large urban areas","Other urban areas","Accessible small towns","Remote small towns","Accessible rural","Remote rural","All"
"127","2012","Shetland Islands","All","-","-","-","100","-","100","100"
"128","2012","South Ayrshire","All","-","100","100","100","100","100","100"
"129","2012","South Lanarkshire","All","100","100","100","-","100","100","100"
"130","2012","Stirling","All","-","100","100","-","100","100","100"
"131","2012","West Dunbartonshire","All","100","100","-","-","100","-","100"
"132","2012","West Lothian","All","-","100","100","-","100","-","100"
"133","2012","Aberdeen City","Base","260","-","10","-","0","-","270"
"134","2012","Aberdeenshire","Base","-","60","20","30","80","40","240"
"135","2012","Angus","Base","10","120","30","-","60","-","220"
"136","2012","Argyll and Bute","Base","-","30","-","80","10","100","220"
"137","2012","Clackmannanshire","Base","-","110","70","-","20","-","200"
"138","2012","Dumfries and Galloway","Base","-","50","40","10","40","40","180"
"139","2012","Dundee City","Base","220","-","-","-","0","-","230"
"140","2012","East Ayrshire","Base","-","80","50","10","40","20","190"
"141","2012","East Dunbartonshire","Base","130","70","10","-","10","-","220"
"142","2012","East Lothian","Base","40","20","40","30","50","10","200"
"143","2012","East Renfrewshire","Base","160","-","20","-","0","-","190"
"144","2012","Edinburgh, City of","Base","660","-","20","-","0","-","680"
"145","2012","Falkirk","Base","-","170","0","-","10","-","190"
"146","2012","Fife","Base","-","270","60","-","80","-","410"
"147","2012","Glasgow City","Base","810","-","-","-","0","-","810"
"148","2012","Highland","Base","-","60","-","60","20","110","240"
"149","2012","Inverclyde","Base","-","200","20","-","10","-","220"
"150","2012","Midlothian","Base","-","120","40","-","30","-","190"
"151","2012","Moray","Base","-","50","60","10","60","20","190"
"152","2012","Na h-Eileanan Siar","Base","-","-","-","50","-","160","210"
"153","2012","North Ayrshire","Base","-","160","60","-","10","10","250"
"154","2012","North Lanarkshire","Base","220","50","40","-","20","-","330"
"155","2012","Orkney Islands","Base","-","-","-","60","-","140","210"
"156","2012","Perth and Kinross","Base","0","70","20","20","60","20","200"
"157","2012","Renfrewshire","Base","220","10","20","-","10","-","260"
"158","2012","Scotland","Base","2930","2500","750","450","850","860","8330"
"159","2012","Scottish Borders","Base","-","60","40","10","70","20","200"
"160","2012","Shetland Islands","Base","-","-","-","70","-","140","210"
"161","2012","South Ayrshire","Base","-","150","10","10","40","10","220"
"162","2012","South Lanarkshire","Base","90","190","40","-","30","0","350"
"163","2012","Stirling","Base","-","110","30","-","50","20","210"
"164","2012","West Dunbartonshire","Base","110","110","-","-","0","-","220"
"165","2012","West Lothian","Base","-","170","20","-","10","-","200"
"166","2013","Aberdeen City","Satisfied","56.8","-","*","-","-","-","57.6"
"167","2013","Aberdeenshire","Satisfied","-","77.6","*","*","40.5","*","54.9"
"168","2013","Angus","Satisfied","*","81.4","*","-","*","-","72.2"
"169","2013","Argyll and Bute","Satisfied","-","*","-","85.5","*","63.9","77.5"
"170","2013","Clackmannanshire","Satisfied","-","74.1","77.4","-","*","-","69.7"
"171","2013","Dumfries and Galloway","Satisfied","-","65.5","*","*","*","*","64.9"
"172","2013","Dundee City","Satisfied","68.8","-","-","-","*","-","69.1"
"173","2013","East Ayrshire","Satisfied","-","74.9","*","*","*","*","71.9"
"174","2013","East Dunbartonshire","Satisfied","71.5","71.6","*","-","*","-","68.8"
"175","2013","East Lothian","Satisfied","*","*","71.2","*","*","*","72.9"
"176","2013","East Renfrewshire","Satisfied","83.6","-","*","-","*","-","82.3"
"177","2013","Edinburgh, City of","Satisfied","87.7","-","*","-","*","-","86.2"
"178","2013","Falkirk","Satisfied","-","60.1","*","-","*","-","57.6"
"179","2013","Fife","Satisfied","-","77.6","80.5","-","71","-","76.8"
"180","2013","Glasgow City","Satisfied","77.2","-","-","-","*","-","77.3"
"181","2013","Highland","Satisfied","-","58.8","-","57.6","*","41.3","51.6"
"182","2013","Inverclyde","Satisfied","-","78.5","*","-","*","-","75.3"
"183","2013","Midlothian","Satisfied","-","79.5","*","-","*","-","71.6"
"184","2013","Moray","Satisfied","-","*","71","*","55.9","*","58.7"
"185","2013","Na h-Eileanan Siar","Satisfied","-","-","-","68.2","-","77","74.9"
"186","2013","North Ayrshire","Satisfied","-","77.1","*","-","*","*","77.3"
"187","2013","North Lanarkshire","Satisfied","83","61.7","*","-","*","-","76.5"
"188","2013","Orkney Islands","Satisfied","-","-","-","85.7","-","71.6","76.6"
"189","2013","Perth and Kinross","Satisfied","*","87.7","*","*","71.1","*","77.2"
"190","2013","Renfrewshire","Satisfied","71.1","*","*","-","*","-","67.3"
"191","2013","Scotland","Satisfied","77.7","72.2","69.8","66.2","57.6","50.1","71.1"
"192","2013","Scottish Borders","Satisfied","-","64.4","*","*","58.4","*","57.9"
"193","2013","Shetland Islands","Satisfied","-","-","-","67","-","56.2","59.8"
"194","2013","South Ayrshire","Satisfied","-","70","*","*","*","*","64.9"
"195","2013","South Lanarkshire","Satisfied","83","61.8","*","-","*","*","66.6"
"196","2013","Stirling","Satisfied","-","91.2","*","-","60.5","*","75.1"
"197","2013","West Dunbartonshire","Satisfied","79.3","86.8","-","-","*","-","82.9"
"198","2013","West Lothian","Satisfied","-","66.1","*","-","*","-","63.4"
"199","2013","Aberdeen City","Neither satisfied nor dissatisfied","15.5","-","*","-","-","-","15.3"
"200","2013","Aberdeenshire","Neither satisfied nor dissatisfied","-","11","*","*","15.2","*","14.5"
"201","2013","Angus","Neither satisfied nor dissatisfied","*","13.2","*","-","*","-","13.1"
"202","2013","Argyll and Bute","Neither satisfied nor dissatisfied","-","*","-","12.4","*","13","10.7"
"203","2013","Clackmannanshire","Neither satisfied nor dissatisfied","-","7","9.1","-","*","-","11.2"
"204","2013","Dumfries and Galloway","Neither satisfied nor dissatisfied","-","15.6","*","*","*","*","11.2"
"205","2013","Dundee City","Neither satisfied nor dissatisfied","14.5","-","-","-","*","-","14.7"
"206","2013","East Ayrshire","Neither satisfied nor dissatisfied","-","21","*","*","*","*","22.8"
"207","2013","East Dunbartonshire","Neither satisfied nor dissatisfied","10","15.5","*","-","*","-","12.3"
"208","2013","East Lothian","Neither satisfied nor dissatisfied","*","*","5.1","*","*","*","11"
"209","2013","East Renfrewshire","Neither satisfied nor dissatisfied","8.4","-","*","-","*","-","7.6"
"210","2013","Edinburgh, City of","Neither satisfied nor dissatisfied","5.2","-","*","-","*","-","5.7"
"211","2013","Falkirk","Neither satisfied nor dissatisfied","-","25.4","*","-","*","-","22.9"
"212","2013","Fife","Neither satisfied nor dissatisfied","-","14.1","9.4","-","8.5","-","12.3"
"213","2013","Glasgow City","Neither satisfied nor dissatisfied","7.4","-","-","-","*","-","7.4"
"214","2013","Highland","Neither satisfied nor dissatisfied","-","19.9","-","16.1","*","16.6","17.5"
"215","2013","Inverclyde","Neither satisfied nor dissatisfied","-","9.7","*","-","*","-","10.7"
"216","2013","Midlothian","Neither satisfied nor dissatisfied","-","13.5","*","-","*","-","15.1"
"217","2013","Moray","Neither satisfied nor dissatisfied","-","*","18.6","*","30","*","21.5"
"218","2013","Na h-Eileanan Siar","Neither satisfied nor dissatisfied","-","-","-","21.4","-","12.7","14.8"
"219","2013","North Ayrshire","Neither satisfied nor dissatisfied","-","9.5","*","-","*","*","8.5"
"220","2013","North Lanarkshire","Neither satisfied nor dissatisfied","5.3","13.3","*","-","*","-","7.2"
"221","2013","Orkney Islands","Neither satisfied nor dissatisfied","-","-","-","5","-","12.8","10.1"
"222","2013","Perth and Kinross","Neither satisfied nor dissatisfied","*","6.9","*","*","6.3","*","11.3"
"223","2013","Renfrewshire","Neither satisfied nor dissatisfied","13","*","*","-","*","-","12.6"
"224","2013","Scotland","Neither satisfied nor dissatisfied","8.4","14.9","12.3","19.3","14","15.4","12.2"
"225","2013","Scottish Borders","Neither satisfied nor dissatisfied","-","31.6","*","*","22.3","*","23.9"
"226","2013","Shetland Islands","Neither satisfied nor dissatisfied","-","-","-","17.3","-","19.8","18.9"
"227","2013","South Ayrshire","Neither satisfied nor dissatisfied","-","23.5","*","*","*","*","24.3"
"228","2013","South Lanarkshire","Neither satisfied nor dissatisfied","5.2","15.4","*","-","*","*","12.4"
"229","2013","Stirling","Neither satisfied nor dissatisfied","-","5.8","*","-","4.8","*","5.8"
"230","2013","West Dunbartonshire","Neither satisfied nor dissatisfied","10.7","2.6","-","-","*","-","6.9"
"231","2013","West Lothian","Neither satisfied nor dissatisfied","-","17","*","-","*","-","17.2"
"232","2013","Aberdeen City","Dissatisfied","27.7","-","*","-","-","-","27.1"
"233","2013","Aberdeenshire","Dissatisfied","-","11.4","*","*","44.3","*","30.5"
"234","2013","Angus","Dissatisfied","*","5.4","*","-","*","-","14.7"
"235","2013","Argyll and Bute","Dissatisfied","-","*","-","2.1","*","23.1","11.8"
"236","2013","Clackmannanshire","Dissatisfied","-","18.9","13.6","-","*","-","19.1"
"237","2013","Dumfries and Galloway","Dissatisfied","-","18.9","*","*","*","*","23.9"
"238","2013","Dundee City","Dissatisfied","16.7","-","-","-","*","-","16.2"
"239","2013","East Ayrshire","Dissatisfied","-","4.1","*","*","*","*","5.4"
"240","2013","East Dunbartonshire","Dissatisfied","18.5","12.9","*","-","*","-","18.9"
"241","2013","East Lothian","Dissatisfied","*","*","23.7","*","*","*","16.1"
"242","2013","East Renfrewshire","Dissatisfied","8","-","*","-","*","-","10.1"
"243","2013","Edinburgh, City of","Dissatisfied","7","-","*","-","*","-","8"
"244","2013","Falkirk","Dissatisfied","-","14.6","*","-","*","-","19.5"
"245","2013","Fife","Dissatisfied","-","8.3","10.1","-","20.5","-","10.9"
"246","2013","Glasgow City","Dissatisfied","15.4","-","-","-","*","-","15.4"
"247","2013","Highland","Dissatisfied","-","21.3","-","26.3","*","42.1","30.9"
"248","2013","Inverclyde","Dissatisfied","-","11.9","*","-","*","-","13.9"
"249","2013","Midlothian","Dissatisfied","-","7.1","*","-","*","-","13.3"
"250","2013","Moray","Dissatisfied","-","*","10.4","*","14.2","*","19.8"
"251","2013","Na h-Eileanan Siar","Dissatisfied","-","-","-","10.4","-","10.3","10.3"
"252","2013","North Ayrshire","Dissatisfied","-","13.4","*","-","*","*","14.2"
"253","2013","North Lanarkshire","Dissatisfied","11.8","24.9","*","-","*","-","16.2"
"254","2013","Orkney Islands","Dissatisfied","-","-","-","9.3","-","15.6","13.4"
"255","2013","Perth and Kinross","Dissatisfied","*","5.4","*","*","22.6","*","11.5"
"256","2013","Renfrewshire","Dissatisfied","15.9","*","*","-","*","-","20"
"257","2013","Scotland","Dissatisfied","13.9","12.9","17.9","14.5","28.4","34.5","16.7"
"258","2013","Scottish Borders","Dissatisfied","-","4","*","*","19.3","*","18.1"
"259","2013","Shetland Islands","Dissatisfied","-","-","-","15.7","-","24","21.2"
"260","2013","South Ayrshire","Dissatisfied","-","6.5","*","*","*","*","10.8"
"261","2013","South Lanarkshire","Dissatisfied","11.9","22.8","*","-","*","*","21"
"262","2013","Stirling","Dissatisfied","-","3","*","-","34.7","*","19.1"
"263","2013","West Dunbartonshire","Dissatisfied","10","10.6","-","-","*","-","10.3"
"264","2013","West Lothian","Dissatisfied","-","16.9","*","-","*","-","19.4"
"265","2013","Aberdeen City","All","100","-","100","-","-","-","100"
"266","2013","Aberdeenshire","All","-","100","100","100","100","100","100"
"267","2013","Angus","All","100","100","100","-","100","-","100"
"268","2013","Argyll and Bute","All","-","100","-","100","100","100","100"
"269","2013","Clackmannanshire","All","-","100","100","-","100","-","100"
"270","2013","Dumfries and Galloway","All","-","100","100","100","100","100","100"
"271","2013","Dundee City","All","100","-","-","-","100","-","100"
"272","2013","East Ayrshire","All","-","100","100","100","100","100","100"
"273","2013","East Dunbartonshire","All","100","100","100","-","100","-","100"
"274","2013","East Lothian","All","100","100","100","100","100","100","100"
"275","2013","East Renfrewshire","All","100","-","100","-","100","-","100"
"276","2013","Edinburgh, City of","All","100","-","100","-","100","-","100"
"277","2013","Falkirk","All","-","100","100","-","100","-","100"
