"","Year","Council","serv5g","Large urban areas","Other urban areas","Accessible small towns","Remote small towns","Accessible rural","Remote rural","All"
"392","2014","South Ayrshire","Neither satisfied nor dissatisfied","-","30.5","*","*","*","*","28.2"
"393","2014","South Lanarkshire","Neither satisfied nor dissatisfied","7.9","16.7","*","-","*","*","15.1"
"394","2014","Stirling","Neither satisfied nor dissatisfied","-","8.3","*","-","19.3","*","10.3"
"395","2014","West Dunbartonshire","Neither satisfied nor dissatisfied","7.1","5.7","-","-","*","-","6.3"
"396","2014","West Lothian","Neither satisfied nor dissatisfied","-","12.3","*","-","*","-","11.7"
"397","2014","Aberdeen City","Dissatisfied","19.6","-","*","-","*","-","19.6"
"398","2014","Aberdeenshire","Dissatisfied","-","15.4","*","*","29.9","*","21.8"
"399","2014","Angus","Dissatisfied","*","4.8","*","-","*","*","16.4"
"400","2014","Argyll and Bute","Dissatisfied","-","*","-","14.4","*","25.6","15"
"401","2014","Clackmannanshire","Dissatisfied","-","16.2","18.4","-","*","-","21.9"
"402","2014","Dumfries and Galloway","Dissatisfied","-","19.3","*","*","*","*","20.1"
"403","2014","Dundee City","Dissatisfied","12.6","-","-","-","-","-","12.6"
"404","2014","East Ayrshire","Dissatisfied","-","4","*","*","*","*","10.6"
"405","2014","East Dunbartonshire","Dissatisfied","16.2","5.4","*","-","*","-","16.4"
"406","2014","East Lothian","Dissatisfied","*","*","*","*","33.8","*","14.5"
"407","2014","East Renfrewshire","Dissatisfied","5.7","-","*","-","*","-","6.2"
"408","2014","Edinburgh, City of","Dissatisfied","2.6","-","*","-","*","-","3.1"
"409","2014","Falkirk","Dissatisfied","-","10.2","*","-","*","-","11.4"
"410","2014","Fife","Dissatisfied","-","5.5","6.1","-","14.2","-","7.2"
"411","2014","Glasgow City","Dissatisfied","11.2","-","-","-","*","-","11.3"
"412","2014","Highland","Dissatisfied","-","10.7","*","*","*","30.4","17.6"
"413","2014","Inverclyde","Dissatisfied","-","5.7","*","-","*","-","6.4"
"414","2014","Midlothian","Dissatisfied","-","3.8","*","-","*","-","4.2"
"415","2014","Moray","Dissatisfied","-","6","*","*","24.8","*","17.5"
"416","2014","Na h-Eileanan Siar","Dissatisfied","-","-","-","14.7","-","7.3","9.5"
"417","2014","North Ayrshire","Dissatisfied","-","4","*","-","*","*","5.3"
"418","2014","North Lanarkshire","Dissatisfied","*","7.1","8.3","-","*","-","8.6"
"419","2014","Orkney Islands","Dissatisfied","-","-","-","3.8","-","12.4","9.5"
"420","2014","Perth and Kinross","Dissatisfied","*","6.7","*","*","27.4","*","15.5"
"421","2014","Renfrewshire","Dissatisfied","7","*","*","-","*","-","10.9"
"422","2014","Scotland","Dissatisfied","9.4","7.2","11.3","9.7","23.5","28.4","11.5"
"423","2014","Scottish Borders","Dissatisfied","-","2.8","*","*","20.1","*","10.3"
"424","2014","Shetland Islands","Dissatisfied","-","-","-","22.3","-","32.2","29.1"
"425","2014","South Ayrshire","Dissatisfied","-","4.5","*","*","*","*","5"
"426","2014","South Lanarkshire","Dissatisfied","14.8","5.3","*","-","*","*","12.5"
"427","2014","Stirling","Dissatisfied","-","3.5","*","-","36","*","14.5"
"428","2014","West Dunbartonshire","Dissatisfied","6.2","15","-","-","*","-","11"
"429","2014","West Lothian","Dissatisfied","-","6","*","-","*","-","7.5"
"430","2014","Aberdeen City","All","100","-","100","-","100","-","100"
"431","2014","Aberdeenshire","All","-","100","100","100","100","100","100"
"432","2014","Angus","All","100","100","100","-","100","100","100"
"433","2014","Argyll and Bute","All","-","100","-","100","100","100","100"
"434","2014","Clackmannanshire","All","-","100","100","-","100","-","100"
"435","2014","Dumfries and Galloway","All","-","100","100","100","100","100","100"
"436","2014","Dundee City","All","100","-","-","-","-","-","100"
"437","2014","East Ayrshire","All","-","100","100","100","100","100","100"
"438","2014","East Dunbartonshire","All","100","100","100","-","100","-","100"
"439","2014","East Lothian","All","100","100","100","100","100","100","100"
"440","2014","East Renfrewshire","All","100","-","100","-","100","-","100"
"441","2014","Edinburgh, City of","All","100","-","100","-","100","-","100"
"442","2014","Falkirk","All","-","100","100","-","100","-","100"
"443","2014","Fife","All","-","100","100","-","100","-","100"
"444","2014","Glasgow City","All","100","-","-","-","100","-","100"
"445","2014","Highland","All","-","100","100","100","100","100","100"
"446","2014","Inverclyde","All","-","100","100","-","100","-","100"
"447","2014","Midlothian","All","-","100","100","-","100","-","100"
"448","2014","Moray","All","-","100","100","100","100","100","100"
"449","2014","Na h-Eileanan Siar","All","-","-","-","100","-","100","100"
"450","2014","North Ayrshire","All","-","100","100","-","100","100","100"
"451","2014","North Lanarkshire","All","100","100","100","-","100","-","100"
"452","2014","Orkney Islands","All","-","-","-","100","-","100","100"
"453","2014","Perth and Kinross","All","100","100","100","100","100","100","100"
"454","2014","Renfrewshire","All","100","100","100","-","100","-","100"
"455","2014","Scotland","All","100","100","100","100","100","100","100"
"456","2014","Scottish Borders","All","-","100","100","100","100","100","100"
"457","2014","Shetland Islands","All","-","-","-","100","-","100","100"
"458","2014","South Ayrshire","All","-","100","100","100","100","100","100"
"459","2014","South Lanarkshire","All","100","100","100","-","100","100","100"
"460","2014","Stirling","All","-","100","100","-","100","100","100"
"461","2014","West Dunbartonshire","All","100","100","-","-","100","-","100"
"462","2014","West Lothian","All","-","100","100","-","100","-","100"
"463","2014","Aberdeen City","Base","250","-","10","-","0","-","270"
"464","2014","Aberdeenshire","Base","-","70","30","20","100","40","260"
"465","2014","Angus","Base","10","100","30","-","40","0","190"
"466","2014","Argyll and Bute","Base","-","50","-","80","10","90","220"
"467","2014","Clackmannanshire","Base","-","70","90","-","30","-","190"
"468","2014","Dumfries and Galloway","Base","-","60","40","10","50","40","190"
"469","2014","Dundee City","Base","220","-","-","-","-","-","220"
"470","2014","East Ayrshire","Base","-","60","50","10","40","20","190"
"471","2014","East Dunbartonshire","Base","120","50","20","-","10","-","190"
"472","2014","East Lothian","Base","40","20","30","30","50","10","190"
"473","2014","East Renfrewshire","Base","180","-","20","-","10","-","200"
"474","2014","Edinburgh, City of","Base","670","-","10","-","0","-","690"
"475","2014","Falkirk","Base","-","210","0","-","20","-","230"
"476","2014","Fife","Base","-","280","80","-","80","-","440"
"477","2014","Glasgow City","Base","850","-","-","-","0","-","850"
"478","2014","Highland","Base","-","90","20","50","20","90","250"
"479","2014","Inverclyde","Base","-","200","20","-","0","-","220"
"480","2014","Midlothian","Base","-","120","30","-","40","-","180"
"481","2014","Moray","Base","-","60","40","30","70","30","230"
"482","2014","Na h-Eileanan Siar","Base","-","-","-","70","-","190","260"
"483","2014","North Ayrshire","Base","-","160","30","-","10","10","210"
"484","2014","North Lanarkshire","Base","10","300","50","-","30","-","390"
"485","2014","Orkney Islands","Base","-","-","-","70","-","130","190"
"486","2014","Perth and Kinross","Base","10","60","30","30","60","20","200"
"487","2014","Renfrewshire","Base","170","10","20","-","10","-","210"
"488","2014","Scotland","Base","2690","2750","780","500","910","850","8480"
"489","2014","Scottish Borders","Base","-","60","50","10","70","20","220"
"490","2014","Shetland Islands","Base","-","-","-","80","-","160","230"
"491","2014","South Ayrshire","Base","-","140","10","10","40","10","210"
"492","2014","South Lanarkshire","Base","70","210","40","-","30","10","350"
"493","2014","Stirling","Base","-","120","30","-","60","10","220"
"494","2014","West Dunbartonshire","Base","100","130","-","-","0","-","230"
"495","2014","West Lothian","Base","-","130","20","-","20","-","170"
"496","2015","Aberdeen City","Satisfied","60.3","-","*","-","-","-","60.6"
"497","2015","Aberdeenshire","Satisfied","-","81.1","*","*","52.7","*","62.7"
"498","2015","Angus","Satisfied","*","80","*","-","*","*","71.4"
"499","2015","Argyll and Bute","Satisfied","-","*","-","84.6","*","66.5","80.9"
"500","2015","Clackmannanshire","Satisfied","-","79.1","79.6","-","*","-","71.7"
"501","2015","Dumfries and Galloway","Satisfied","-","77.2","*","*","*","*","66.2"
"502","2015","Dundee City","Satisfied","77.6","-","-","-","-","-","77.6"
"503","2015","East Ayrshire","Satisfied","-","82.7","*","*","*","*","78.7"
"504","2015","East Dunbartonshire","Satisfied","75.1","79","*","-","*","-","75.6"
"505","2015","East Lothian","Satisfied","*","*","*","*","67.1","*","75.2"
"506","2015","East Renfrewshire","Satisfied","76.9","-","*","-","*","-","74.6"
"507","2015","Edinburgh, City of","Satisfied","89.6","-","*","-","*","-","89"
"508","2015","Falkirk","Satisfied","-","63.9","*","-","*","-","64"
"509","2015","Fife","Satisfied","-","81.5","68.1","-","76","-","77.8"
"510","2015","Glasgow City","Satisfied","82","-","-","-","*","-","82"
"511","2015","Highland","Satisfied","-","58.6","*","*","*","50.1","55.9"
"512","2015","Inverclyde","Satisfied","-","76.6","*","-","*","-","71.6"
"513","2015","Midlothian","Satisfied","-","84.2","*","-","*","-","78.1"
"514","2015","Moray","Satisfied","-","65.2","*","*","46.9","*","57.9"
"515","2015","Na h-Eileanan Siar","Satisfied","-","-","-","62.2","-","72.3","69.3"
"516","2015","North Ayrshire","Satisfied","-","78.6","*","-","*","*","78"
"517","2015","North Lanarkshire","Satisfied","*","76.3","*","-","*","-","74.8"
"518","2015","Orkney Islands","Satisfied","-","-","-","80","-","52.8","62.4"
"519","2015","Perth and Kinross","Satisfied","*","87.4","*","*","51.2","*","69.7"
"520","2015","Renfrewshire","Satisfied","75","*","*","-","*","-","73.1"
"521","2015","Scotland","Satisfied","80.2","75.6","67.6","68.9","60.2","54.1","73.5"
"522","2015","Scottish Borders","Satisfied","-","76.6","*","*","48.4","*","58.7"
"523","2015","Shetland Islands","Satisfied","-","-","-","52.6","-","55.8","54.6"
"524","2015","South Ayrshire","Satisfied","-","85.8","*","*","*","*","78.2"
"525","2015","South Lanarkshire","Satisfied","77.3","65.7","*","-","*","*","65.3"
"526","2015","Stirling","Satisfied","-","80.1","*","-","56.9","*","70.6"
"527","2015","West Dunbartonshire","Satisfied","82.2","77.9","-","-","*","-","79.3"
"528","2015","West Lothian","Satisfied","-","69.6","*","-","*","-","68.7"
"529","2015","Aberdeen City","Neither satisfied nor dissatisfied","11.2","-","*","-","-","-","11.1"
"530","2015","Aberdeenshire","Neither satisfied nor dissatisfied","-","9","*","*","7.4","*","11.2"
"531","2015","Angus","Neither satisfied nor dissatisfied","*","13.6","*","-","*","*","15"
"532","2015","Argyll and Bute","Neither satisfied nor dissatisfied","-","*","-","4.2","*","7.7","4.2"
"533","2015","Clackmannanshire","Neither satisfied nor dissatisfied","-","13","11.6","-","*","-","13.4"
"534","2015","Dumfries and Galloway","Neither satisfied nor dissatisfied","-","16.8","*","*","*","*","14.7"
"535","2015","Dundee City","Neither satisfied nor dissatisfied","13.7","-","-","-","-","-","13.7"
"536","2015","East Ayrshire","Neither satisfied nor dissatisfied","-","7.2","*","*","*","*","8.3"
"537","2015","East Dunbartonshire","Neither satisfied nor dissatisfied","18.1","14.9","*","-","*","-","15.2"
"538","2015","East Lothian","Neither satisfied nor dissatisfied","*","*","*","*","6.2","*","9.3"
"539","2015","East Renfrewshire","Neither satisfied nor dissatisfied","8.9","-","*","-","*","-","10"
"540","2015","Edinburgh, City of","Neither satisfied nor dissatisfied","5.5","-","*","-","*","-","5.6"
"541","2015","Falkirk","Neither satisfied nor dissatisfied","-","21.3","*","-","*","-","20.6"
"542","2015","Fife","Neither satisfied nor dissatisfied","-","12.6","19","-","8.8","-","13.2"
"543","2015","Glasgow City","Neither satisfied nor dissatisfied","9.1","-","-","-","*","-","9"
"544","2015","Highland","Neither satisfied nor dissatisfied","-","16.4","*","*","*","20.1","19.2"
"545","2015","Inverclyde","Neither satisfied nor dissatisfied","-","12.5","*","-","*","-","12.6"
"546","2015","Midlothian","Neither satisfied nor dissatisfied","-","8.5","*","-","*","-","12.7"
"547","2015","Moray","Neither satisfied nor dissatisfied","-","30","*","*","21.2","*","19.3"
"548","2015","Na h-Eileanan Siar","Neither satisfied nor dissatisfied","-","-","-","24.8","-","13","16.5"
"549","2015","North Ayrshire","Neither satisfied nor dissatisfied","-","13.4","*","-","*","*","12.1"
"550","2015","North Lanarkshire","Neither satisfied nor dissatisfied","*","10","*","-","*","-","11.4"
"551","2015","Orkney Islands","Neither satisfied nor dissatisfied","-","-","-","12.9","-","9.8","10.9"
"552","2015","Perth and Kinross","Neither satisfied nor dissatisfied","*","8.3","*","*","19.2","*","12.3"
"553","2015","Renfrewshire","Neither satisfied nor dissatisfied","12.7","*","*","-","*","-","13.7"
"554","2015","Scotland","Neither satisfied nor dissatisfied","9.1","13.2","14.9","17.1","14","14.7","12.1"
"555","2015","Scottish Borders","Neither satisfied nor dissatisfied","-","10.4","*","*","33.9","*","22.2"
"556","2015","Shetland Islands","Neither satisfied nor dissatisfied","-","-","-","36.3","-","16.7","23.8"
"557","2015","South Ayrshire","Neither satisfied nor dissatisfied","-","10.3","*","*","*","*","13.3"
"558","2015","South Lanarkshire","Neither satisfied nor dissatisfied","5.5","16.3","*","-","*","*","14.2"
"559","2015","Stirling","Neither satisfied nor dissatisfied","-","9.1","*","-","14","*","11.9"
"560","2015","West Dunbartonshire","Neither satisfied nor dissatisfied","9.5","13","-","-","*","-","11.5"
"561","2015","West Lothian","Neither satisfied nor dissatisfied","-","14.7","*","-","*","-","13.6"
"562","2015","Aberdeen City","Dissatisfied","28.6","-","*","-","-","-","28.3"
"563","2015","Aberdeenshire","Dissatisfied","-","9.9","*","*","39.9","*","26.1"
"564","2015","Angus","Dissatisfied","*","6.4","*","-","*","*","13.6"
"565","2015","Argyll and Bute","Dissatisfied","-","*","-","11.2","*","25.8","14.9"
"566","2015","Clackmannanshire","Dissatisfied","-","7.9","8.8","-","*","-","14.8"
"567","2015","Dumfries and Galloway","Dissatisfied","-","6","*","*","*","*","19.2"
"568","2015","Dundee City","Dissatisfied","8.7","-","-","-","-","-","8.7"
"569","2015","East Ayrshire","Dissatisfied","-","10.1","*","*","*","*","13"
"570","2015","East Dunbartonshire","Dissatisfied","6.8","6.1","*","-","*","-","9.2"
"571","2015","East Lothian","Dissatisfied","*","*","*","*","26.7","*","15.5"
"572","2015","East Renfrewshire","Dissatisfied","14.3","-","*","-","*","-","15.3"
"573","2015","Edinburgh, City of","Dissatisfied","4.9","-","*","-","*","-","5.4"
"574","2015","Falkirk","Dissatisfied","-","14.8","*","-","*","-","15.5"
"575","2015","Fife","Dissatisfied","-","5.9","12.9","-","15.2","-","9"
"576","2015","Glasgow City","Dissatisfied","8.9","-","-","-","*","-","8.9"
"577","2015","Highland","Dissatisfied","-","25.1","*","*","*","29.8","24.9"
"578","2015","Inverclyde","Dissatisfied","-","11","*","-","*","-","15.8"
"579","2015","Midlothian","Dissatisfied","-","7.3","*","-","*","-","9.2"
"580","2015","Moray","Dissatisfied","-","4.8","*","*","31.9","*","22.8"
"581","2015","Na h-Eileanan Siar","Dissatisfied","-","-","-","13","-","14.7","14.2"
"582","2015","North Ayrshire","Dissatisfied","-","8","*","-","*","*","9.8"
"583","2015","North Lanarkshire","Dissatisfied","*","13.7","*","-","*","-","13.8"
"584","2015","Orkney Islands","Dissatisfied","-","-","-","7","-","37.4","26.7"
"585","2015","Perth and Kinross","Dissatisfied","*","4.4","*","*","29.6","*","18.1"
"586","2015","Renfrewshire","Dissatisfied","12.3","*","*","-","*","-","13.2"
"587","2015","Scotland","Dissatisfied","10.7","11.2","17.5","14","25.8","31.1","14.4"
"588","2015","Scottish Borders","Dissatisfied","-","13","*","*","17.7","*","19.1"
"589","2015","Shetland Islands","Dissatisfied","-","-","-","11.1","-","27.6","21.6"
"590","2015","South Ayrshire","Dissatisfied","-","3.9","*","*","*","*","8.5"
"591","2015","South Lanarkshire","Dissatisfied","17.2","18","*","-","*","*","20.5"
"592","2015","Stirling","Dissatisfied","-","10.7","*","-","29","*","17.5"
"593","2015","West Dunbartonshire","Dissatisfied","8.2","9.1","-","-","*","-","9.2"
"594","2015","West Lothian","Dissatisfied","-","15.7","*","-","*","-","17.7"
"595","2015","Aberdeen City","All","100","-","100","-","-","-","100"
"596","2015","Aberdeenshire","All","-","100","100","100","100","100","100"
"597","2015","Angus","All","100","100","100","-","100","100","100"
"598","2015","Argyll and Bute","All","-","100","-","100","100","100","100"
"599","2015","Clackmannanshire","All","-","100","100","-","100","-","100"
"600","2015","Dumfries and Galloway","All","-","100","100","100","100","100","100"
"601","2015","Dundee City","All","100","-","-","-","-","-","100"
"602","2015","East Ayrshire","All","-","100","100","100","100","100","100"
"603","2015","East Dunbartonshire","All","100","100","100","-","100","-","100"
"604","2015","East Lothian","All","100","100","100","100","100","100","100"
"605","2015","East Renfrewshire","All","100","-","100","-","100","-","100"
"606","2015","Edinburgh, City of","All","100","-","100","-","100","-","100"
"607","2015","Falkirk","All","-","100","100","-","100","-","100"
"608","2015","Fife","All","-","100","100","-","100","-","100"
"609","2015","Glasgow City","All","100","-","-","-","100","-","100"
"610","2015","Highland","All","-","100","100","100","100","100","100"
"611","2015","Inverclyde","All","-","100","100","-","100","-","100"
"612","2015","Midlothian","All","-","100","100","-","100","-","100"
"613","2015","Moray","All","-","100","100","100","100","100","100"
"614","2015","Na h-Eileanan Siar","All","-","-","-","100","-","100","100"
"615","2015","North Ayrshire","All","-","100","100","-","100","100","100"
"616","2015","North Lanarkshire","All","100","100","100","-","100","-","100"
"617","2015","Orkney Islands","All","-","-","-","100","-","100","100"
"618","2015","Perth and Kinross","All","100","100","100","100","100","100","100"
"619","2015","Renfrewshire","All","100","100","100","-","100","-","100"
"620","2015","Scotland","All","100","100","100","100","100","100","100"
"621","2015","Scottish Borders","All","-","100","100","100","100","100","100"
"622","2015","Shetland Islands","All","-","-","-","100","-","100","100"
"623","2015","South Ayrshire","All","-","100","100","100","100","100","100"
"624","2015","South Lanarkshire","All","100","100","100","-","100","100","100"
"625","2015","Stirling","All","-","100","100","-","100","100","100"
"626","2015","West Dunbartonshire","All","100","100","-","-","100","-","100"
"627","2015","West Lothian","All","-","100","100","-","100","-","100"
"628","2015","Aberdeen City","Base","240","-","20","-","-","-","260"
"629","2015","Aberdeenshire","Base","-","90","20","10","80","30","230"
"630","2015","Angus","Base","10","100","20","-","40","0","170"
"631","2015","Argyll and Bute","Base","-","40","-","70","10","70","180"
"632","2015","Clackmannanshire","Base","-","70","100","-","30","-","200"
"633","2015","Dumfries and Galloway","Base","-","60","30","20","50","40","200"
"634","2015","Dundee City","Base","230","-","-","-","-","-","230"
"635","2015","East Ayrshire","Base","-","80","40","10","50","20","190"
"636","2015","East Dunbartonshire","Base","120","60","10","-","10","-","200"
"637","2015","East Lothian","Base","40","30","40","30","60","10","200"
"638","2015","East Renfrewshire","Base","210","-","20","-","10","-","240"
"639","2015","Edinburgh, City of","Base","590","-","20","-","0","-","610"
"640","2015","Falkirk","Base","-","190","0","-","20","-","210"
"641","2015","Fife","Base","-","270","80","-","80","-","420"
"642","2015","Glasgow City","Base","740","-","-","-","0","-","740"
"643","2015","Highland","Base","-","70","10","30","20","90","220"
"644","2015","Inverclyde","Base","-","210","30","-","10","-","240"
"645","2015","Midlothian","Base","-","130","20","-","30","-","190"
"646","2015","Moray","Base","-","50","40","30","60","30","220"
"647","2015","Na h-Eileanan Siar","Base","-","-","-","90","-","170","260"
"648","2015","North Ayrshire","Base","-","150","40","-","10","10","210"
"649","2015","North Lanarkshire","Base","10","270","40","-","30","-","350"
"650","2015","Orkney Islands","Base","-","-","-","70","-","130","210"
"651","2015","Perth and Kinross","Base","0","70","20","20","70","30","210"
"652","2015","Renfrewshire","Base","200","20","20","-","10","-","250"
"653","2015","Scotland","Base","2540","2750","740","480","870","800","8180"
"654","2015","Scottish Borders","Base","-","50","40","10","60","20","180"
"655","2015","Shetland Islands","Base","-","-","-","80","-","130","210"
"656","2015","South Ayrshire","Base","-","150","10","10","30","10","200"
"657","2015","South Lanarkshire","Base","70","200","30","-","30","10","340"
"658","2015","Stirling","Base","-","110","20","-","60","10","200"
"659","2015","West Dunbartonshire","Base","90","110","-","-","0","-","200"
"660","2015","West Lothian","Base","-","180","20","-","20","-","210"
"661","2016","Aberdeen City","Satisfied","61.8","-","*","-","-","-","61.8"
"662","2016","Aberdeenshire","Satisfied","-","74.6","*","*","44.7","*","52.8"
"663","2016","Angus","Satisfied","*","76.4","*","-","*","*","69.8"
"664","2016","Argyll and Bute","Satisfied","-","*","-","76","*","74.6","78.5"
"665","2016","Clackmannanshire","Satisfied","-","44","73.2","-","*","-","57.8"
"666","2016","Dumfries and Galloway","Satisfied","-","69.7","*","*","*","48.2","61.1"
"667","2016","Dundee City","Satisfied","78.5","-","-","-","-","-","78.5"
"668","2016","East Ayrshire","Satisfied","-","84.4","*","*","*","*","77.4"
"669","2016","East Dunbartonshire","Satisfied","73.8","74","*","-","*","-","74.6"
"670","2016","East Lothian","Satisfied","87","*","79.8","*","70.9","*","78.2"
"671","2016","East Renfrewshire","Satisfied","75.4","-","*","-","*","-","74.3"
"672","2016","Edinburgh, City of","Satisfied","92.4","-","*","-","*","-","90.5"
"673","2016","Falkirk","Satisfied","-","70.4","*","-","*","-","66.5"
"674","2016","Fife","Satisfied","-","73.8","76.8","-","77.4","-","74.9"
"675","2016","Glasgow City","Satisfied","77.8","-","-","-","*","-","77.8"
"676","2016","Highland","Satisfied","-","80.3","*","*","*","40.3","58.6"
"677","2016","Inverclyde","Satisfied","-","86.4","*","-","-","-","84.3"
"678","2016","Midlothian","Satisfied","-","88.9","*","-","*","-","87"
"679","2016","Moray","Satisfied","-","59.6","*","*","45.1","*","49.3"
"680","2016","Na h-Eileanan Siar","Satisfied","-","-","-","55.2","-","63.7","61.5"
"681","2016","North Ayrshire","Satisfied","-","77.4","*","-","*","*","77.8"
"682","2016","North Lanarkshire","Satisfied","*","72.8","*","-","*","-","69.6"
"683","2016","Orkney Islands","Satisfied","-","-","-","*","-","66","68.8"
"684","2016","Perth and Kinross","Satisfied","*","85.1","*","*","66.6","*","72.9"
"685","2016","Renfrewshire","Satisfied","81.7","*","*","-","*","-","79.8"
"686","2016","Scotland","Satisfied","79.8","72.9","68.7","66.3","56.6","49.1","71.8"
"687","2016","Scottish Borders","Satisfied","-","77","*","*","56.5","*","63"
"688","2016","Shetland Islands","Satisfied","-","-","-","64.1","-","74.6","71.3"
"689","2016","South Ayrshire","Satisfied","-","70.1","*","*","*","*","66.8"
"690","2016","South Lanarkshire","Satisfied","62.7","63.9","*","-","*","*","63.4"
"691","2016","Stirling","Satisfied","-","68.1","*","-","38","*","54.9"
"692","2016","West Dunbartonshire","Satisfied","83.2","86.1","-","-","*","-","85"
"693","2016","West Lothian","Satisfied","-","58.1","*","-","*","-","57.5"
"694","2016","Aberdeen City","Neither satisfied nor dissatisfied","14.1","-","*","-","-","-","13.2"
"695","2016","Aberdeenshire","Neither satisfied nor dissatisfied","-","10.5","*","*","15.5","*","17.1"
"696","2016","Angus","Neither satisfied nor dissatisfied","*","16.7","*","-","*","*","19.8"
"697","2016","Argyll and Bute","Neither satisfied nor dissatisfied","-","*","-","15.4","*","5.6","7.8"
"698","2016","Clackmannanshire","Neither satisfied nor dissatisfied","-","52.2","23.9","-","*","-","37.1"
"699","2016","Dumfries and Galloway","Neither satisfied nor dissatisfied","-","17.5","*","*","*","24.1","20.6"
"700","2016","Dundee City","Neither satisfied nor dissatisfied","14.1","-","-","-","-","-","14.1"
"701","2016","East Ayrshire","Neither satisfied nor dissatisfied","-","13.7","*","*","*","*","16.2"
"702","2016","East Dunbartonshire","Neither satisfied nor dissatisfied","6.1","12.6","*","-","*","-","8.1"
"703","2016","East Lothian","Neither satisfied nor dissatisfied","4.4","*","15.1","*","10.9","*","10.5"
"704","2016","East Renfrewshire","Neither satisfied nor dissatisfied","14","-","*","-","*","-","13.7"
"705","2016","Edinburgh, City of","Neither satisfied nor dissatisfied","5.2","-","*","-","*","-","5.7"
"706","2016","Falkirk","Neither satisfied nor dissatisfied","-","22","*","-","*","-","22"
"707","2016","Fife","Neither satisfied nor dissatisfied","-","20","16.9","-","10.8","-","18"
"708","2016","Glasgow City","Neither satisfied nor dissatisfied","11.8","-","-","-","*","-","11.7"
"709","2016","Highland","Neither satisfied nor dissatisfied","-","13.7","*","*","*","29.9","21.7"
"710","2016","Inverclyde","Neither satisfied nor dissatisfied","-","6.6","*","-","-","-","5.8"
"711","2016","Midlothian","Neither satisfied nor dissatisfied","-","5.7","*","-","*","-","6.4"
"712","2016","Moray","Neither satisfied nor dissatisfied","-","32.3","*","*","26.6","*","21.7"
"713","2016","Na h-Eileanan Siar","Neither satisfied nor dissatisfied","-","-","-","29.3","-","18.4","21.2"
"714","2016","North Ayrshire","Neither satisfied nor dissatisfied","-","17.6","*","-","*","*","17.9"
"715","2016","North Lanarkshire","Neither satisfied nor dissatisfied","*","16.1","*","-","*","-","15.5"
"716","2016","Orkney Islands","Neither satisfied nor dissatisfied","-","-","-","*","-","14","15"
"717","2016","Perth and Kinross","Neither satisfied nor dissatisfied","*","12.3","*","*","10.7","*","16.3"
"718","2016","Renfrewshire","Neither satisfied nor dissatisfied","5.9","*","*","-","*","-","7"
"719","2016","Scotland","Neither satisfied nor dissatisfied","10.2","18.4","16.4","18.5","18.8","23","15.5"
"720","2016","Scottish Borders","Neither satisfied nor dissatisfied","-","16.9","*","*","26.2","*","21.8"
"721","2016","Shetland Islands","Neither satisfied nor dissatisfied","-","-","-","17.4","-","15.2","15.9"
"722","2016","South Ayrshire","Neither satisfied nor dissatisfied","-","25.3","*","*","*","*","27.4"
"723","2016","South Lanarkshire","Neither satisfied nor dissatisfied","28.5","21.2","*","-","*","*","20.3"
"724","2016","Stirling","Neither satisfied nor dissatisfied","-","29.9","*","-","28.4","*","32.8"
"725","2016","West Dunbartonshire","Neither satisfied nor dissatisfied","5.1","4.6","-","-","*","-","4.8"
"726","2016","West Lothian","Neither satisfied nor dissatisfied","-","28.5","*","-","*","-","28"
"727","2016","Aberdeen City","Dissatisfied","24","-","*","-","-","-","25.1"
"728","2016","Aberdeenshire","Dissatisfied","-","15","*","*","39.8","*","30.1"
"729","2016","Angus","Dissatisfied","*","6.8","*","-","*","*","10.4"
"730","2016","Argyll and Bute","Dissatisfied","-","*","-","8.6","*","19.8","13.7"
"731","2016","Clackmannanshire","Dissatisfied","-","3.8","3","-","*","-","5.2"
"732","2016","Dumfries and Galloway","Dissatisfied","-","12.8","*","*","*","27.7","18.2"
"733","2016","Dundee City","Dissatisfied","7.4","-","-","-","-","-","7.4"
"734","2016","East Ayrshire","Dissatisfied","-","1.9","*","*","*","*","6.4"
"735","2016","East Dunbartonshire","Dissatisfied","20.1","13.5","*","-","*","-","17.4"
"736","2016","East Lothian","Dissatisfied","8.7","*","5.2","*","18.2","*","11.3"
"737","2016","East Renfrewshire","Dissatisfied","10.6","-","*","-","*","-","12"
"738","2016","Edinburgh, City of","Dissatisfied","2.3","-","*","-","*","-","3.8"
"739","2016","Falkirk","Dissatisfied","-","7.7","*","-","*","-","11.6"
"740","2016","Fife","Dissatisfied","-","6.2","6.3","-","11.8","-","7.1"
"741","2016","Glasgow City","Dissatisfied","10.4","-","-","-","*","-","10.4"
"742","2016","Highland","Dissatisfied","-","6","*","*","*","29.8","19.6"
"743","2016","Inverclyde","Dissatisfied","-","7","*","-","-","-","9.9"
"744","2016","Midlothian","Dissatisfied","-","5.4","*","-","*","-","6.6"
"745","2016","Moray","Dissatisfied","-","8.1","*","*","28.3","*","29"
"746","2016","Na h-Eileanan Siar","Dissatisfied","-","-","-","15.5","-","17.8","17.2"
"747","2016","North Ayrshire","Dissatisfied","-","5","*","-","*","*","4.3"
"748","2016","North Lanarkshire","Dissatisfied","*","11.2","*","-","*","-","15"
"749","2016","Orkney Islands","Dissatisfied","-","-","-","*","-","20","16.2"
"750","2016","Perth and Kinross","Dissatisfied","*","2.6","*","*","22.8","*","10.8"
