"","Year","Council","","Large urban areas","Other urban areas","Accessible small towns","Remote small towns","Accessible rural","Remote rural","All"
"1973","2023","Scotland","Live music event - e.g. traditional music, rock concert","39.1","33.3","35.4","34","36.9","36.2","36.3"
"2006","2023","Scotland","Theatre - e.g. pantomime / musical / play","32.7","28.7","27","22.2","31.2","21.6","29.8"
"2039","2023","Scotland","Dance show / event - e.g. ballet","8.1","6.8","8.2","9.4","8.8","5.9","7.7"
"2072","2023","Scotland","Historic place - e.g. castle, stately home and grounds, battle or archaeological site","33.5","30","35.3","32.1","36.9","29.6","32.7"
"2105","2023","Scotland","Museum","38.5","24.5","27.1","23.3","26.6","23.7","30.3"
"2138","2023","Scotland","Art gallery","28.9","13.9","16.9","18.5","18.2","18.5","20.8"
"2171","2023","Scotland","Exhibition - including art, photography and crafts","16.9","10.1","14.2","14.5","15.9","14.3","14.2"
"2204","2023","Scotland","Street arts (e.g. musical performances or art in parks, streets or shopping centre)","13.9","9.2","10.6","10.2","10.4","4.8","11"
"2237","2023","Scotland","Culturally specific festival (e.g. Mela /Feis/ local Gala days)","8.4","5.2","8.7","8.4","8.8","11.4","7.6"
"2270","2023","Scotland","Book festival","4.9","2.4","3.2","4.2","3.9","3.2","3.7"
"2303","2023","Scotland","Archive or records office (e.g. Scotland's Family History Peoples Centre)","1.3","1.2","1.1","2.1","1.3","1.2","1.3"
"2336","2023","Scotland","Streaming of a live performance (e.g. theatre, dance, concert or comedy performance)","7.5","6.7","7.5","6.7","8.1","5.4","7.2"
"2369","2023","Scotland","Classical music performance","6.5","4","5.7","5.2","5.5","5.4","5.4"
"2402","2023","Scotland","Opera","3","1.1","1.8","2.6","2","1.2","2.1"
"2435","2023","Scotland","Comedy performance","16.9","11.6","11.3","8.5","11.9","6.5","13.2"
"2468","2023","Scotland","None","21.2","26.4","23.5","33.7","22.1","25.4","23.7"
"2501","2023","Scotland","Any excluding cinema","71.6","65.5","71.7","58.1","70.9","69.4","69.1"
"2534","2023","Scotland","Any including cinema","78.8","73.6","76.5","66.3","77.9","74.6","76.3"
"2567","2023","Scotland","Base","3220","3060","880","430","1140","1020","9750"
