"","Year","Council","","Large urban areas","Other urban areas","Accessible small towns","Remote small towns","Accessible rural","Remote rural","All"
"1775","2022","Scotland","None","26.7","25.8","25.1","17.1","20.2","28.2","25.2"
"1808","2022","Scotland","Any excluding reading","49.5","50.5","51.5","60.7","54.2","49.6","51.1"
"1841","2022","Scotland","Any including reading","73.3","74.2","74.9","82.9","79.8","71.8","74.8"
"1874","2022","Scotland","Base","3210","2780","870","530","1060","1190","9640"
"1907","2023","Scotland","Read books, poetry or graphic novels / comics for pleasure (including on a Kindle or other mobile device)","62.7","59.3","60.6","61.5","68","66.9","62.3"
"1940","2023","Scotland","Dance, either for fitness or not for fitness","9.9","8.4","7.2","9","9.8","8.2","9.1"
"1973","2023","Scotland","Played a musical instrument or written music","12","9.5","9.8","9","11.9","13.6","11"
"2006","2023","Scotland","Taken part in a theatrical performance such as a play, musical, comedy or variety performance (including production and backstage","1.3","1.3","0.9","2.7","0.8","1.1","1.2"
"2039","2023","Scotland","Sang in a singing group or choir","3.4","2.5","3.3","5.1","3.4","3.9","3.2"
"2072","2023","Scotland","Painting, drawing, printmaking or sculpture","12.2","10.9","8.5","12.1","12.1","11.1","11.4"
"2105","2023","Scotland","Photography as an artistic activity (not family or holiday 'snaps')","6","5.3","7.9","9.5","6.2","7.9","6.2"
"2138","2023","Scotland","Film- making/ video-making as an artistic activity","2.1","1.2","1","1.5","1.5","1.2","1.6"
"2171","2023","Scotland","Used a computer to produce artwork or animation","6.7","4.4","3","5.6","5.7","6.6","5.5"
"2204","2023","Scotland","Crafts such as knitting, jewellery making, pottery, etc.","14.9","17.2","20.7","18.7","23.8","26.3","18"
"2237","2023","Scotland","Creative writing - stories, books, comics, plays or poetry","4.1","3.3","3.5","2.6","3.8","3.9","3.7"
"2270","2023","Scotland","Viewed performances (e.g. music or dance) online on a smartphone, computer, smart tv etc","22.7","18.7","20","22","19.9","18.2","20.6"
"2303","2023","Scotland","Viewed cultural content online (e.g. museum or heritage collections or artist's work)","7.5","7.2","7.1","9.9","7.4","9.6","7.5"
"2336","2023","Scotland","Shared art or creative content online that you have created yourself (such as digital art, music, dance, videos or recordings)","4.1","2.2","1.9","4.2","2.9","3.3","3.1"
"2369","2023","Scotland","Other cultural activity","4.7","2.4","3.1","2.6","2.3","4.5","3.5"
"2402","2023","Scotland","None","26.7","29","25.5","27","20.4","22.1","26.3"
"2435","2023","Scotland","Any excluding reading","48.8","47","52.8","50.2","55.4","55.1","49.8"
"2468","2023","Scotland","Any including reading","73.4","71","74.5","73","79.6","77.9","73.7"
"2501","2023","Scotland","Base","3220","3060","880","430","1140","1020","9750"
