25 Urban and rural areas,,,,,,,,,,,,,,,,
Table of contents,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
This worksheet contains seven tables.,,,,,,,,,,,,,,,,
Estimates for 2018-21 to 2020-23 are two-year averages due to the impact of the pandemic on the survey. See README for more information.,,,,,,,,,,,,,,,,
Note: Information on urban/rural class is not available prior to 2006.,,,,,,,,,,,,,,,,
Source: Scottish Government analysis of the Family Resources Survey,,,,,,,,,,,,,,,,
"25a Relative poverty rate: Proportion of children in each category who are in relative poverty (below 60% of UK median income after housing costs), Scotland",,,,,,,,,,,,,,,,
Group,2006-09,2007-10,2008-11,2009-12,2010-13,2011-14,2012-15,2013-16,2014-17,2015-18,2016-19,2017-20,2018-21,2019-22,2020-23,2021-24
All,25%,24%,24%,21%,21%,21%,22%,23%,23%,24%,23%,24%,25%,24%,24%,23%
Urban,26%,26%,25%,23%,22%,22%,23%,25%,26%,27%,25%,26%,26%,27%,28%,24%
Rural,19%,18%,18%,16%,17%,16%,16%,15%,15%,15%,16%,19%,21%,18%,15%,21%
