"Table 2: Number of dwellings in Scotland by council area, September 2001 to 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area Name,Area code,Area type,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,"Change 2023-2024
Number","Change 2023-2024
%","Change 2014-2024
Number","Change 2014-2024
%","Change 2004-2024
Number","Change 2004-2024
%"
Inverclyde,S12000018,Council area,"39,204","39,290","39,453","39,659","39,376","39,136","39,174","39,285","39,299","39,377","39,457","39,590","38,791","38,699","38,787","38,835","38,848","38,985","38,977","39,107","39,446","39,776","39,913","39,926",13,0.0,"1,227",3.2,267,0.7
Midlothian,S12000019,Council area,"33,285","33,350","33,500","33,669","33,795","34,144","34,408","34,840","35,605","35,986","36,434","37,051","37,503","38,159","38,675","39,297","39,937","40,612","41,226","41,657","42,492","43,231","44,052","44,858",806,1.8,"6,699",17.6,"11,189",33.2
Moray,S12000020,Council area,"38,861","39,123","39,416","39,774","40,179","40,607","41,172","41,544","41,981","42,241","42,699","43,139","43,495","43,788","44,096","44,454","44,838","45,209","45,630","45,838","46,166","46,585","47,060","47,471",411,0.9,"3,683",8.4,"7,697",19.4
Na h-Eileanan Siar,S12000013,Council area,"13,462","13,522","13,630","13,682","13,676","13,759","13,893","14,006","14,101","14,258","14,396","14,458","14,490","14,520","14,577","14,599","14,714","14,706","14,734","14,764","14,856","14,975","15,097","15,254",157,1.0,734,5.1,"1,572",11.5
North Ayrshire,S12000021,Council area,"62,321","62,809","63,195","63,697","64,130","64,609","65,270","65,913","66,204","66,461","66,648","66,888","67,082","67,204","67,590","67,800","67,960","68,158","68,496","68,843","69,175","69,747","70,223","70,256",33,0.0,"3,052",4.5,"6,559",10.3
North Lanarkshire,S12000050,Council area,"136,941","138,343","139,606","140,864","142,679","144,337","145,621","146,740","147,604","148,553","149,190","149,763","150,541","151,424","152,293","153,388","154,286","155,364","156,694","157,625","158,456","159,586","160,560","161,228",668,0.4,"9,804",6.5,"20,364",14.5
Orkney Islands,S12000023,Council area,"9,237","9,354","9,423","9,548","9,642","9,726","9,880","10,039","10,190","10,265","10,438","10,613","10,717","10,816","10,924","11,063","11,192","11,261","11,322","11,391","11,475","11,618","11,719","11,833",114,1.0,"1,017",9.4,"2,285",23.9
Perth and Kinross,S12000048,Council area,"62,573","63,270","64,139","65,021","65,608","66,252","67,010","67,896","68,349","68,788","69,236","69,618","69,923","70,312","70,828","71,347","71,810","72,441","73,267","73,775","74,589","75,321","76,136","76,762",626,0.8,"6,450",9.2,"11,741",18.1
Renfrewshire,S12000038,Council area,"80,747","80,781","80,580","80,579","80,632","81,020","81,749","82,059","82,663","82,760","82,944","83,166","83,933","84,442","84,997","85,724","86,449","87,265","88,086","88,624","89,571","90,485","91,192","91,736",544,0.6,"7,294",8.6,"11,157",13.8
Scottish Borders,S12000026,Council area,"51,279","51,803","52,327","52,833","53,252","53,912","54,588","55,179","55,666","56,129","56,530","56,765","57,097","57,274","57,628","57,940","58,167","58,425","58,671","58,814","59,126","59,557","59,974","60,064",90,0.2,"2,790",4.9,"7,231",13.7
Shetland Islands,S12000027,Council area,"9,959","10,014","10,052","10,120","10,157","10,219","10,313","10,403","10,522","10,621","10,707","10,789","10,852","10,950","11,021","11,109","11,180","11,270","11,305","11,374","11,462","11,544","11,629","11,667",38,0.3,717,6.5,"1,547",15.3
South Ayrshire,S12000028,Council area,"50,754","51,237","51,642","52,047","52,391","52,665","53,069","53,209","53,424","53,788","53,968","54,202","54,385","54,489","54,635","54,942","55,252","55,486","55,668","55,793","56,016","56,453","56,697","56,953",256,0.5,"2,464",4.5,"4,906",9.4
South Lanarkshire,S12000029,Council area,"130,836","132,464","133,822","135,488","136,862","138,527","140,112","141,534","142,594","143,470","144,386","145,257","146,110","146,925","147,849","148,771","149,972","151,352","152,998","153,863","155,373","157,277","158,594","159,662","1,068",0.7,"12,737",8.7,"24,174",17.8
Stirling,S12000030,Council area,"36,835","37,167","37,566","37,815","38,198","38,316","38,582","38,984","39,091","39,246","39,509","39,798","39,965","40,320","40,646","40,998","41,250","41,443","41,638","41,950","42,140","42,644","42,990","43,214",224,0.5,"2,894",7.2,"5,399",14.3
West Dunbartonshire,S12000039,Council area,"43,437","43,535","43,694","43,505","43,827","43,880","43,982","44,104","44,262","44,415","44,586","44,790","44,880","44,734","45,056","45,104","45,093","45,228","45,357","45,148","45,607","45,846","46,068","46,198",130,0.3,"1,464",3.3,"2,693",6.2
West Lothian,S12000040,Council area,"66,327","67,166","68,332","69,504","70,754","71,770","72,981","73,948","74,397","75,123","75,397","75,729","76,473","77,186","77,834","78,604","79,112","79,854","80,911","81,723","82,591","83,624","84,929","85,453",524,0.6,"8,267",10.7,"15,949",22.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
